figure,stem,title,role,selected_version,png,pdf,svg,tiff
Fig. 1,Fig01_method_overview,"Method overview: Quijote final path, auxiliary KUN path, and design loop",Overall schematic of the complete workflow.,python_recreation,figures/Fig01_method_overview.png,figures/Fig01_method_overview.pdf,,not included; see PNG/PDF/SVG
Fig. 2,Fig02_standard_geometry_bias_prior,Standard-geometry bias prior construction,Explains accepted-only standard-geometry averaging and interpolation into a bias prior.,python_recreation,figures/Fig02_standard_geometry_bias_prior.png,figures/Fig02_standard_geometry_bias_prior.pdf,,not included; see PNG/PDF/SVG
Fig. 3,Fig03_ppr_cold_start,Bias-field driven PPR cold-start design,Shows how the bias prior becomes the first 32 training points through particle relaxation.,python_recreation,figures/Fig03_ppr_cold_start.png,figures/Fig03_ppr_cold_start.pdf,,not included; see PNG/PDF/SVG
Fig. 4,Fig04_variance_bias_active_selection,Variance-bias active selection within node-free simplices,Explains the active acquisition score and Delaunay-simplex one-point selection loop.,python_recreation,figures/Fig04_variance_bias_active_selection.png,figures/Fig04_variance_bias_active_selection.pdf,,not included; see PNG/PDF/SVG
Fig. 5,Fig05_overall_p68_main_result,Overall p68 comparison against Sobol baseline,Main fixed-budget performance result.,data_figure,figures/Fig05_overall_p68_main_result.png,figures/Fig05_overall_p68_main_result.pdf,figures/Fig05_overall_p68_main_result.svg,not included; see PNG/PDF/SVG
Fig. 6,Fig06_p68_k_curve,p68(k) error curve across the validation k-grid,Scale-dependent validation error across k.,data_figure,figures/Fig06_p68_k_curve.png,figures/Fig06_p68_k_curve.pdf,figures/Fig06_p68_k_curve.svg,not included; see PNG/PDF/SVG
Fig. 7,Fig07_band_p68_results,Band-wise p68 comparison,"Low, mid, focus-high, and tail band performance.",data_figure,figures/Fig07_band_p68_results.png,figures/Fig07_band_p68_results.pdf,figures/Fig07_band_p68_results.svg,not included; see PNG/PDF/SVG
Fig. 8,Fig08_ablation_overall_p68,Ablation of cold start and active-learning components,Separates PPR cold-start and active-addition contributions.,data_figure,figures/Fig08_ablation_overall_p68.png,figures/Fig08_ablation_overall_p68.pdf,figures/Fig08_ablation_overall_p68.svg,not included; see PNG/PDF/SVG
Fig. 9,Fig09_error_distribution_diagnostic,Error-distribution diagnostic,Shows how the method changes validation-error distribution.,data_figure,figures/Fig09_error_distribution_diagnostic.png,figures/Fig09_error_distribution_diagnostic.pdf,figures/Fig09_error_distribution_diagnostic.svg,not included; see PNG/PDF/SVG
Fig. 10,Fig10_design_distribution,Training-point distribution in normalized parameter space,"Compares Sobol baseline, PPR cold-start points, and active additions.",data_figure,figures/Fig10_design_distribution.png,figures/Fig10_design_distribution.pdf,figures/Fig10_design_distribution.svg,not included; see PNG/PDF/SVG
Fig. 11,Fig11_bias_quantile_distribution,Bias quantile distribution,Summarizes distributional structure of the constructed bias field.,data_figure,figures/Fig11_bias_quantile_distribution.png,figures/Fig11_bias_quantile_distribution.pdf,figures/Fig11_bias_quantile_distribution.svg,not included; see PNG/PDF/SVG
Fig. 12,Fig12_bias_field_support_quality,Bias-field support quality,Audits standard-geometry accepted counts and support reliability.,data_figure,figures/Fig12_bias_field_support_quality.png,figures/Fig12_bias_field_support_quality.pdf,figures/Fig12_bias_field_support_quality.svg,not included; see PNG/PDF/SVG
Fig. 13,Fig13_bias_field_2d_slices,Two-dimensional slices of the bias field,Visualizes spatial structure of the interpolated bias prior.,data_figure,figures/Fig13_bias_field_2d_slices.png,figures/Fig13_bias_field_2d_slices.pdf,figures/Fig13_bias_field_2d_slices.svg,not included; see PNG/PDF/SVG
