method,metric,value
Sobol baseline,p50,0.010278323986131266
Sobol baseline,p68,0.019040150781028685
Sobol baseline,p90,0.05290549269206688
Sobol baseline,p95,0.07420302428354798
Sobol baseline,p98,0.11330995350100699
Sobol baseline,mean,0.02056555694587972
Sobol baseline,max,0.21173650769539698
This method,p50,0.007713536940936239
This method,p68,0.01490130400475887
This method,p90,0.04328950971216265
This method,p95,0.06837310924564859
This method,p98,0.11042014246543233
This method,mean,0.017369379403758423
This method,max,0.2296003740919692
